DATE,Arrivals,Corporate,Education,Vacation
2000M01,284361,6816,3433,125919
2000M02,273092,9453,5375,124404
2000M03,234368,8044,6008,102541
2000M04,263813,6388,6174,82724
2000M05,202172,6448,6171,55282
2000M06,200423,6143,6363,46412
2000M07,281012,7112,7862,59928
2000M08,234306,7026,8036,60202
2000M09,232494,6294,7981,55664
2000M10,296586,7358,8541,63952
2000M11,295022,7856,8364,90633
2000M12,323961,6901,6820,128790
2001M01,336818,6696,6388,144060
2001M02,287719,8699,8528,135282
2001M03,264181,8465,9107,113766
2001M04,271410,7248,9200,89852
2001M05,214684,7609,9129,61495
2001M06,224260,6941,9492,54010
2001M07,295746,6992,11802,69213
2001M08,257382,8018,11840,70256
2001M09,270109,7592,11368,64392
2001M10,288592,8263,12053,73872
2001M11,264907,9067,11900,91878
2001M12,317906,8152,10675,131744
2002M01,345696,7651,10330,149969
2002M02,295485,9391,13074,145614
2002M03,290378,9262,13981,128075
2002M04,257058,7999,15093,96911
2002M05,217025,7186,14171,69921
2002M06,229586,7216,14413,59848
2002M07,300011,7668,17099,75402
2002M08,264913,7841,17035,73541
2002M09,272110,8356,16076,67545
2002M10,316282,9080,16455,79697
2002M11,309391,10082,16307,102953
2002M12,346434,8303,13738,148029
2003M01,367417,9005,13384,164434
2003M02,315934,11452,15976,159655
2003M03,285337,10922,16401,135563
2003M04,260652,9172,15163,103313
2003M05,202090,8098,14510,69272
2003M06,223257,7832,13930,60870
2003M07,299409,7923,15656,77373
2003M08,268521,7918,15140,74900
2003M09,297814,8308,13937,70889
2003M10,328393,8764,13928,81181
2003M11,339175,9612,13127,106931
2003M12,392790,7592,10198,159453
2004M01,412175,7555,9246,176495
2004M02,355943,9988,12009,162998
2004M03,322535,9783,12362,139414
2004M04,325669,8317,11294,112700
2004M05,265625,8049,11122,74668
2004M06,276653,7468,11017,65790
2004M07,377371,7943,13100,80190
2004M08,327786,8382,12515,75232
2004M09,344814,8674,11884,70247
2004M10,375855,9559,12330,78986
2004M11,361237,9892,11666,104181
2004M12,421215,8413,8972,153911
2005M01,446255,8400,8511,174941
2005M02,374646,10363,12043,164330
2005M03,363880,10330,12720,142468
2005M04,325378,9505,11667,103323
2005M05,286921,8827,11092,72418
2005M06,309237,8300,10898,70597
2005M07,385556,8439,12787,81077
2005M08,337439,8912,13235,72774
2005M09,337712,9548,12141,70361
2005M10,401739,9877,12067,79681
2005M11,354356,10376,11603,105245
2005M12,418553,9394,9175,153433
2006M01,451183,9501,8914,175625
2006M02,390180,12041,12092,170223
2006M03,343830,11564,13108,142692
2006M04,349631,10595,12045,113683
2006M05,280173,10355,11733,75615
2006M06,290726,8890,11936,66383
2006M07,387680,8562,14354,80460
2006M08,326903,8816,13700,78491
2006M09,351239,9427,12952,73327
2006M10,402305,9943,13025,85299
2006M11,378154,11093,12504,110749
2006M12,429581,9514,10030,160768
2007M01,450289,9433,9104,182010
2007M02,399183,11521,12872,178460
2007M03,367374,11618,14482,150282
2007M04,355376,9620,14234,117261
2007M05,298372,9780,13594,78829
2007M06,313275,8855,13539,67778
2007M07,402580,8622,15667,83257
2007M08,346960,9113,14940,79946
2007M09,363112,8712,13171,74453
2007M10,408908,8629,13254,84975
2007M11,388904,9874,12894,107985
2007M12,437456,8496,10365,159260
2008M01,463169,9164,9115,183206
2008M02,424214,11352,12461,179153
2008M03,390569,10114,13876,163111
2008M04,318112,10343,13608,119821
2008M05,314016,9153,13458,86500
2008M06,317830,8463,13465,75422
2008M07,392112,8651,15356,88361
2008M08,353851,9054,15117,83633
2008M09,339309,8936,13860,77732
2008M10,398403,9254,14118,84690
2008M11,378382,10922,13595,107329
2008M12,440797,9266,11117,162413
2009M01,445596,9276,10190,180609
2009M02,388845,10921,13111,170482
2009M03,356051,10925,14065,145658
2009M04,351099,9004,13617,119136
2009M05,292747,8105,13029,82400
2009M06,298267,7485,12895,69380
2009M07,390574,8089,14778,83078
2009M08,352851,8166,14708,77133
2009M09,354626,7966,14197,76855
2009M10,410123,8552,14690,84755
2009M11,381710,9557,14528,108273
2009M12,457950,8664,11612,172188
2010M01,458584,8856,11556,191067
2010M02,400061,10315,14491,178517
2010M03,377540,11461,15349,147521
2010M04,351083,9761,14904,116604
2010M05,298383,9418,14026,80984
2010M06,315185,8240,13729,69387
2010M07,410277,8492,15749,83520
2010M08,366169,8804,14957,78449
2010M09,365821,8887,14120,76415
2010M10,424269,9449,13830,83366
2010M11,388676,10128,13400,109320
2010M12,474265,8188,11019,169079
2011M01,482228,7883,10534,193893
2011M02,407051,10730,14421,177431
2011M03,353730,10289,15772,141925
2011M04,360865,8123,15464,116183
2011M05,325144,7675,15057,78974
2011M06,305399,7188,14736,66894
2011M07,411612,7986,15487,81317
2011M08,397013,8263,15571,79505
2011M09,403021,8478,14442,94924
2011M10,427738,8929,14150,101812
2011M11,403871,9857,13912,108450
2011M12,498491,8486,11129,172539
2012M01,499839,7499,10921,194273
2012M02,413759,9945,13927,167900
2012M03,384067,10212,14164,141222
2012M04,379481,8925,13401,116080
2012M05,304525,8788,12971,77966
2012M06,330598,8019,12807,69126
2012M07,428034,7889,14202,81329
2012M08,375075,8424,13725,78158
2012M09,383868,8375,12374,73793
2012M10,429723,8764,12046,82171
